shot,t_end,t_peak,t_hi,t_lo,ipk,ip_end_frac,t_after_lo,flat_before,quench_duration_s,is_fast,n_bridge,flipped,d_ms,logd,bin,lo_rel_end
11766,0.3458,0.2722,0.273,0.27460000000000007,671405.875,0.001739595274325962,0.07119999999999993,0.0008000000000000229,0.0015999999999999,True,0,False,1.5999999999999,0.20411998265589762,"(11000, 14000]",71.19999999999993
11798,0.38339999999999996,0.30879999999999996,0.31000000000000005,0.31200000000000006,673342.6875,-0.0015901537265733839,0.07139999999999991,0.0012000000000000899,0.0019999999999999,True,3,False,1.9999999999998999,0.30102999566395944,"(11000, 14000]",71.3999999999999
11823,0.4112,0.3378,0.33840000000000003,0.33940000000000003,716543.3125,0.00042939299697940014,0.07179999999999997,0.0006000000000000449,0.0009999999999999,True,1,False,0.9999999999999001,-4.339473599490009e-14,"(11000, 14000]",71.79999999999997
11851,0.34640000000000004,0.27160000000000006,0.2724,0.27480000000000004,1070638.75,-0.001329699155206413,0.0716,0.0007999999999999119,0.0023999999999999,True,1,False,2.3999999999999,0.38021124171158793,"(11000, 14000]",71.6
11889,0.4616,0.09179999999999999,0.35860000000000003,0.3952,564055.875,0.002277298648189109,0.06640000000000001,0.26680000000000004,0.0365999999999985,False,0,False,36.5999999999985,1.5634810853943928,"(11000, 14000]",66.40000000000002
11914,0.44700000000000006,0.2552,0.32100000000000006,0.3792,786529.1875,0.004297424195140724,0.06780000000000008,0.06580000000000008,0.0581999999999976,False,7,False,58.1999999999976,1.7649229846498706,"(11000, 14000]",67.80000000000008
11936,0.4952000000000001,0.2772,0.362,0.43500000000000005,573212.6875,-0.0007585760904029623,0.06020000000000003,0.08479999999999999,0.072999999999997,False,0,False,72.999999999997,1.8633228601204381,"(11000, 14000]",60.20000000000003
11957,0.4024000000000001,0.3278,0.3286,0.33120000000000005,932905.125,0.0027145721087360034,0.07120000000000004,0.0008000000000000229,0.0025999999999999,True,0,False,2.5999999999999,0.41497334797080127,"(11000, 14000]",71.20000000000005
12023,0.5664,0.3418,0.4476,0.49860000000000004,588646.8125,-0.0010085996760154036,0.06779999999999997,0.1058,0.0509999999999943,False,5,False,50.9999999999943,1.7075701760978879,"(11000, 14000]",67.79999999999997
12058,0.3076,0.1136,0.1872,0.24800000000000003,459271.5,0.0073291071813254794,0.05959999999999996,0.0736,0.0608000000000017,False,2,False,60.8000000000017,1.7839035792727471,"(11000, 14000]",59.59999999999996
12094,0.2902,0.21520000000000003,0.21620000000000003,0.21880000000000002,842499.1875,0.003225610781839033,0.07139999999999999,0.0010000000000000009,0.0026,True,4,False,2.6,0.414973347970818,"(11000, 14000]",71.39999999999999
12121,0.38439999999999996,0.3104,0.31100000000000005,0.31300000000000006,830022.75,-0.003532558600238668,0.07139999999999991,0.0006000000000000449,0.0019999999999999,True,0,False,1.9999999999998999,0.30102999566395944,"(11000, 14000]",71.3999999999999
12151,0.34140000000000004,0.2662,0.267,0.27060000000000006,1147860.75,-0.00261258458465563,0.07079999999999997,0.0008000000000000229,0.0035999999999999,True,7,False,3.5999999999999,0.5563025007672753,"(11000, 14000]",70.79999999999997
12177,0.39660000000000006,0.3214,0.3228,0.3238,1045965.9375,-0.0017954598719081734,0.07280000000000009,0.0013999999999999568,0.0009999999999999,True,2,False,0.9999999999999001,-4.339473599490009e-14,"(11000, 14000]",72.80000000000008
12201,0.4610000000000001,0.30280000000000007,0.38280000000000003,0.3912,700826.6875,-0.013322144854019276,0.06980000000000008,0.07999999999999996,0.0083999999999996,True,1,False,8.3999999999996,0.924279286061861,"(11000, 14000]",69.80000000000008
12231,0.19760000000000003,0.12460000000000002,0.1252,0.1262,791224.875,7.416914570300855e-06,0.07140000000000002,0.0005999999999999894,0.001,True,2,False,1.0,0.0,"(11000, 14000]",71.40000000000002
12256,0.4830000000000001,0.2296,0.3528,0.4094000000000001,634652.6875,0.004106136333007138,0.0736,0.1232,0.0565999999999976,False,4,False,56.5999999999976,1.752816431188253,"(11000, 14000]",73.6
12283,0.2292,0.1524,0.1554,0.157,1149664.875,-0.0035420378431067793,0.07219999999999999,0.0030000000000000027,0.0016,True,2,False,1.6,0.2041199826559248,"(11000, 14000]",72.19999999999999
12315,0.4716,0.1802,0.3748,0.40480000000000005,539370.6875,0.008596092772931788,0.06679999999999997,0.19460000000000002,0.0299999999999987,False,3,False,29.9999999999987,1.4771212547196435,"(11000, 14000]",66.79999999999997
12357,0.40080000000000005,0.32600000000000007,0.3268,0.3294,1096104.75,-0.00017798139998441784,0.07140000000000002,0.0007999999999999119,0.0025999999999999,True,0,False,2.5999999999999,0.41497334797080127,"(11000, 14000]",71.40000000000002
12384,0.39360000000000006,0.3186,0.3196,0.3224,1080861.125,0.00288282872603083,0.07120000000000004,0.0010000000000000009,0.0027999999999999,True,0,False,2.7999999999999,0.4471580313422037,"(11000, 14000]",71.20000000000005
12410,0.47220000000000006,0.3972,0.39780000000000004,0.4012,1140286.0,-0.004186410319976743,0.07100000000000006,0.0006000000000000449,0.0033999999999998,True,0,False,3.3999999999998,0.5314789170422296,"(11000, 14000]",71.00000000000006
