shot,valid,reason,flipped,dt,n,ipmax,quench_duration_s,is_fast,n_bridge
13269,True,,False,0.00019999999999999185,2844,984168.5625,0.0029999999999998778,True,1
13292,True,,False,0.00019999999999999185,3031,1234291.625,0.002799999999999886,True,1
13330,True,,False,0.00019999999999999185,2734,1076192.75,0.002799999999999886,True,4
13356,True,,False,0.00019999999999999185,2849,737548.375,0.04639999999999811,False,7
13393,True,,False,0.00019999999999999185,2693,976471.4375,0.002599999999999894,True,0
13420,True,,False,0.00020000000000000573,1650,878251.625,0.002200000000000063,True,1
13443,True,,False,0.00019999999999999185,2622,1064515.25,0.0033999999999998615,True,1
13478,True,,True,0.00019999999999999185,2686,1081507.5,0.0031999999999998696,True,1
13503,True,,True,0.00019999999999999185,2600,757783.375,0.017799999999999275,False,2
13526,True,,True,0.00019999999999999185,2566,933109.8125,0.002799999999999886,True,6
13549,True,,True,0.00019999999999999185,2616,1097880.625,0.0029999999999998778,True,0
13573,True,,True,0.00019999999999999185,2995,730448.375,0.06179999999999748,False,0
13603,True,,True,0.0001999999999999988,2340,936238.5,0.001999999999999988,True,1
13640,True,,True,0.00019999999999999185,2706,899020.625,0.002399999999999902,True,1
13668,True,,True,0.0001999999999999988,2440,977166.5,0.0023999999999999855,True,6
13690,True,,True,0.00020000000000000573,2106,1028218.625,0.0020000000000000573,True,4
13716,True,,False,0.00019999999999999185,2557,1086514.875,0.0017999999999999267,True,0
13739,True,,False,0.0001999999999999988,2379,918976.5625,0.0025999999999999843,True,2
13763,True,,False,0.0001999999999999988,2375,1058720.0,0.0031999999999999806,True,3
13789,True,,False,0.00019999999999999185,2891,636306.625,0.05859999999999761,False,0
13813,True,,False,0.00019999999999999185,2632,757441.375,0.007199999999999707,True,2
13836,True,,False,0.00020000000000000573,1881,1042009.625,0.0034000000000000974,True,5
13872,True,,False,0.0001999999999999988,2419,892518.5625,0.0023999999999999855,True,3
13903,True,,False,0.00019999999999999185,2607,978346.5,0.0031999999999998696,True,0
13962,True,,False,0.00020000000000000573,1411,652301.1875,0.00280000000000008,True,3
13987,True,,False,0.00020000000000000573,1757,743814.875,0.0020000000000000573,True,1
14012,True,,False,0.00019999999999999185,3023,1021084.875,0.0031999999999998696,True,0
14038,True,,False,0.00019999999999999185,2880,984154.625,0.0033999999999998615,True,2
14059,True,,False,0.00019999999999999185,2851,1095183.75,0.0031999999999998696,True,0
14176,True,,False,0.00019999999999999185,2632,941343.25,0.002799999999999886,True,4
14204,True,,False,0.0001999999999999988,2226,870758.8125,0.0023999999999999855,True,0
14231,True,,False,0.0001999999999999988,2530,919382.4375,0.0031999999999999806,True,6
14259,True,,False,0.00019999999999999185,2753,802226.5,0.002399999999999902,True,1
14291,True,,False,0.00019999999999999185,2573,1119327.625,0.0031999999999998696,True,0
14315,True,,False,0.00019999999999999185,2661,768395.75,0.01839999999999925,False,1
14342,True,,False,0.00019999999999999185,2846,742681.0,0.011199999999999544,True,0
14369,True,,False,0.00019999999999999185,2785,831973.25,0.0007999999999999674,True,1
14398,True,,False,0.00019999999999999185,2873,788913.4375,0.02059999999999916,False,1
14436,True,,False,0.0001999999999999988,2277,1009660.75,0.0025999999999999843,True,0
14465,True,,False,0.00019999999999999185,3196,988629.75,0.010399999999999576,True,4
14495,True,,False,0.00019999999999999185,3065,986962.1875,0.002599999999999894,True,3
14518,True,,False,0.00020000000000000573,2053,1378800.375,0.003600000000000103,True,1
14544,True,,False,0.00019999999999999185,3172,852972.375,0.007999999999999674,True,1
14571,True,,False,0.00019999999999999185,2591,924980.5,0.002399999999999902,True,5
14599,True,,False,0.00019999999999999185,2716,845620.25,0.0009999999999999593,True,1
14623,True,,False,0.00020000000000000573,1938,1102942.625,0.002200000000000063,True,4
14649,True,,False,0.00019999999999999185,3075,1022146.5,0.002399999999999902,True,2
14805,True,,False,0.00019999999999999185,2989,746582.25,0.016599999999999324,False,0
14830,True,,False,0.00019999999999999185,2837,760003.4375,0.02259999999999908,False,2
14903,True,,False,0.00020000000000000573,1853,813820.6875,0.003000000000000086,True,2
