shot,label,dt_us,d_native_ms,d_dec_ms,d_blk_ms,fast_native,fast_dec,fast_blk
33666,Normal,4.000000000004,31.572000000031576,31.6,31.6,False,False,False
34128,Normal,4.000000000004,33.556000000033556,33.6,33.6,False,False,False
34895,Normal,4.000000000004,37.01200000003701,37.00000000000001,37.00000000000001,False,False,False
35758,Normal,4.000000000004,27.036000000027038,27.200000000000003,27.0,False,False,False
36873,Normal,4.000000000004,31.7960000000318,31.8,31.6,False,False,False
17768,Disruptive,4.000000000004,2.104000000002104,2.0,2.0,True,True,True
18566,Disruptive,4.000000000004,0.9080000000009081,0.8,1.0,True,True,True
20182,Disruptive,4.000000000004,0.616000000000616,0.6000000000000001,0.6000000000000001,True,True,True
20775,Disruptive,4.000000000004,1.6840000000016841,1.6,1.8000000000000003,True,True,True
15502,Disruptive,4.000000000004,2.06000000000206,2.0,2.2,True,True,True
16647,Disruptive,4.000000000004,1.8040000000018042,1.6,1.8000000000000003,True,True,True
17580,Disruptive,4.000000000004,1.5120000000015121,1.6,1.4,True,True,True
17763,Disruptive,4.000000000004,1.22000000000122,1.2000000000000002,1.2000000000000002,True,True,True
18042,Disruptive,4.000000000004,1.7560000000017562,1.8000000000000003,1.8000000000000003,True,True,True
17806,Disruptive,4.000000000004,1.4840000000014841,1.6,1.4,True,True,True
17277,Disruptive,4.000000000004,1.3160000000013161,1.2000000000000002,1.4,True,True,True
16422,Disruptive,4.000000000004,1.4080000000014081,1.4,1.4,True,True,True
20788,Disruptive,4.000000000004,3.4480000000034483,3.4000000000000004,3.4000000000000004,True,True,True
21168,Disruptive,4.000000000004,1.2560000000012561,1.2000000000000002,1.2000000000000002,True,True,True
