shot,valid,reason,flipped,dt,n,ipmax,quench_duration_s,is_fast,n_bridge
12507,True,,False,0.00020000000000000573,1879,1013426.0625,0.0020000000000000573,True,3
12535,True,,False,0.00019999999999999185,3178,952835.875,0.0059999999999997555,True,5
12556,True,,False,0.00019999999999999185,2738,1156715.375,0.0035999999999998533,True,4
12617,True,,False,0.00020000000000000573,2198,1029468.125,0.0012000000000000344,True,3
12654,True,,False,0.00020000000000000573,1967,1301434.375,0.0024000000000000687,True,3
12679,True,,False,0.0001999999999999988,2361,978648.8125,0.000999999999999994,True,0
12701,True,,False,0.00019999999999999185,3089,973685.1875,0.0017999999999999267,True,4
12724,True,,False,0.0001999999999999988,2419,948834.25,0.0011999999999999927,True,0
12747,True,,False,0.00019999999999999185,3022,916346.75,0.0017999999999999267,True,4
12774,True,,False,0.0001999999999999988,2349,1135387.125,0.002799999999999983,True,2
12795,True,,False,0.00019999999999999185,2860,753582.0,0.0017999999999999267,True,3
12821,True,,False,0.0001999999999999988,2542,1076392.375,0.000999999999999994,True,1
12843,True,,False,0.00019999999999999185,2903,857120.3125,0.0017999999999999267,True,0
12868,True,,False,0.00019999999999999185,3083,737679.625,0.0515999999999979,False,3
12891,True,,False,0.00019999999999999185,2680,792751.0,0.002399999999999902,True,1
12916,True,,False,0.0001999999999999988,2413,1140894.0,0.002999999999999982,True,3
12942,True,,False,0.00020000000000000573,2012,1060449.125,0.0020000000000000573,True,5
12965,True,,False,0.0001999999999999988,2454,1064241.625,0.0031999999999999806,True,5
12988,True,,False,0.00019999999999999185,2889,820330.4375,0.07099999999999711,False,5
13016,True,,False,0.00019999999999999185,2939,752084.1875,0.001399999999999943,True,3
13040,True,,False,0.00019999999999999185,3099,637877.5,0.04739999999999807,False,6
13060,True,,False,0.00019999999999999185,2857,867401.0625,0.0017999999999999267,True,4
13083,True,,False,0.00019999999999997797,3509,539840.25,0.022199999999997555,False,4
13109,True,,False,0.0001999999999999988,2404,1071570.5,0.0025999999999999843,True,2
13140,True,,False,0.00019999999999999185,2634,1105811.375,0.0017999999999999267,True,2
13224,True,,False,0.00019999999999999185,2722,1076749.875,0.002799999999999886,True,0
13259,True,,False,0.00019999999999999185,2826,763046.9375,0.02159999999999912,False,2
13281,True,,False,0.00019999999999999185,2989,831223.5625,0.0017999999999999267,True,2
13316,True,,False,0.00019999999999999185,3092,1063453.5,0.0017999999999999267,True,3
13341,True,,False,0.00020000000000000573,2121,1104917.0,0.0032000000000000917,True,0
13369,True,,False,0.00019999999999999185,3031,1015745.8125,0.002399999999999902,True,3
13409,True,,False,0.0001999999999999988,2460,1073856.0,0.0031999999999999806,True,0
13433,True,,False,0.00019999999999999185,3086,1205959.5,0.0019999999999999185,True,2
13460,True,,False,0.00019999999999999185,2751,814007.4375,0.002599999999999894,True,1
13493,True,,True,0.0001999999999999988,2264,1055720.625,0.0031999999999999806,True,3
13516,True,,True,0.00019999999999999185,2876,1009291.75,0.0021999999999999104,True,2
13536,True,,True,0.00019999999999999185,2700,871013.6875,0.002399999999999902,True,6
13559,True,,True,0.00020000000000000573,1542,617202.3125,0.0010000000000000286,True,1
13585,True,,True,0.00020000000000000573,2098,966114.0625,0.00280000000000008,True,1
13625,True,,True,0.00019999999999999185,2805,799978.4375,0.002399999999999902,True,1
13654,True,,True,0.00019999999999999185,2551,946148.5,0.002599999999999894,True,3
13680,True,,True,0.00020000000000000573,1788,824000.375,0.00140000000000004,True,2
13705,True,,False,0.00019999999999999185,2674,764454.4375,0.02059999999999916,False,3
13728,True,,False,0.0001999999999999988,2510,976019.125,0.002999999999999982,True,0
13750,True,,False,0.00019999999999999185,3074,970951.5,0.002599999999999894,True,4
13778,True,,False,0.00019999999999999185,2826,765020.125,0.010599999999999568,True,3
13800,True,,False,0.00019999999999999185,2736,973491.625,0.002799999999999886,True,0
13824,True,,False,0.0001999999999999988,2416,1078817.25,0.0031999999999999806,True,2
13860,True,,False,0.00020000000000000573,2074,979643.8125,0.00280000000000008,True,2
13890,True,,False,0.00019999999999999185,2674,776793.5625,0.024199999999999014,False,3
13944,True,,False,0.0001999999999999988,2269,1070025.0,0.0025999999999999843,True,1
13975,True,,False,0.00019999999999999185,2673,867283.5,0.002799999999999886,True,3
14000,True,,False,0.00019999999999999185,2753,843496.125,0.0017999999999999267,True,1
14026,True,,False,0.00020000000000000573,1888,1012992.6875,0.0024000000000000687,True,3
14048,True,,False,0.00019999999999999185,2962,835720.125,0.01399999999999943,True,1
