time,signal
0.0,-152.576
4e-06,152.5015
8e-06,-0.149
1.2e-05,-0.0745
1.6e-05,-0.149
2e-05,-0.149
2.4e-05,-0.149
2.8e-05,-0.0745
3.2e-05,-0.0745
3.6e-05,-0.0745
4e-05,-0.149
4.4e-05,-0.149
4.8e-05,-0.0745
5.2e-05,-0.0745
5.6e-05,-0.0745
6e-05,-0.0745
6.4e-05,-0.149
6.8e-05,-0.5215
7.2e-05,-0.298
7.6e-05,-0.596
8e-05,-0.745
8.4e-05,-0.44699999999999995
8.8e-05,-0.149
9.2e-05,0.149
9.6e-05,0.0745
0.0001,-0.0745
0.000104,0.22349999999999998
0.000108,-0.0745
0.000112,-0.22349999999999998
0.000116,-0.3725
0.00012,-0.3725
0.000124,-0.3725
0.000128,-0.596
0.000132,-0.5215
0.000136,-0.3725
0.00014,-0.22349999999999998
0.000144,-0.149
0.000148,-0.22349999999999998
0.000152,-0.0745
0.000156,0.0
0.00016,-0.149
0.000164,-0.22349999999999998
0.000168,-0.298
0.000172,-0.22349999999999998
0.000176,-0.3725
0.00018,-0.44699999999999995
0.000184,-0.3725
0.000188,-0.298
0.000192,-0.298
0.000196,-0.22349999999999998
0.0002,-0.22349999999999998
0.000204,-0.149
0.000208,-0.22349999999999998
0.000212,-0.22349999999999998
0.000216,-0.22349999999999998
0.00022,-0.22349999999999998
0.000224,-0.22349999999999998
0.000228,-0.3725
0.000232,-0.3725
0.000236,-0.298
0.00024,-0.298
0.000244,-0.298
0.000248,-0.298
0.000252,-0.22349999999999998
0.000256,-0.149
0.00026,-0.22349999999999998
0.000264,-0.22349999999999998
0.000268,-0.22349999999999998
0.000272,-0.22349999999999998
0.000276,-0.298
0.00028,-0.298
0.000284,-0.298
0.000288,-0.298
0.000292,-0.298
0.000296,-0.298
0.0003,-0.22349999999999998
0.000304,-0.22349999999999998
0.000308,-0.298
0.000312,-0.22349999999999998
0.000316,-0.22349999999999998
0.00032,-0.22349999999999998
0.000324,-0.298
0.000328,-0.298
0.000332,-0.22349999999999998
0.000336,-0.22349999999999998
0.00034,-0.22349999999999998
0.000344,-0.298
0.000348,-0.22349999999999998
0.000352,-0.22349999999999998
0.000356,-0.22349999999999998
0.00036,-0.22349999999999998
0.000364,-0.22349999999999998
0.000368,-0.22349999999999998
0.000372,-0.22349999999999998
0.000376,-0.22349999999999998
0.00038,-0.22349999999999998
0.000384,-0.22349999999999998
0.000388,-0.22349999999999998
0.000392,-0.22349999999999998
0.000396,-0.22349999999999998
0.0004,-0.22349999999999998
0.000404,-0.22349999999999998
0.000408,-0.22349999999999998
0.000412,-0.22349999999999998
0.000416,-0.22349999999999998
0.00042,-0.298
0.000424,-0.298
0.000428,-0.22349999999999998
0.000432,-0.22349999999999998
0.000436,-0.22349999999999998
0.00044,-0.298
0.000444,-0.298
0.000448,-0.22349999999999998
0.000452,-0.22349999999999998
0.000456,-0.22349999999999998
0.00046,-0.22349999999999998
0.000464,-0.298
0.000468,-0.22349999999999998
0.000472,-0.22349999999999998
0.000476,-0.22349999999999998
0.00048,-0.22349999999999998
