time,signal
0.000000,32.9728
0.000004,-32.9567
0.000008,-10.4489
0.000012,-11.0768
0.000016,-11.044599999999999
0.000020,-11.2861
0.000024,-11.8174
0.000028,-12.1716
0.000032,-12.3165
0.000036,-12.3165
0.000040,-12.7673
0.000044,-13.137599999999999
0.000048,-13.1215
0.000052,-13.2181
0.000056,-13.4757
0.000060,-13.797699999999999
0.000064,-13.8621
0.000068,-13.797699999999999
0.000072,-14.0714
0.000076,-14.2968
0.000080,-14.3451
0.000084,-14.3451
0.000088,-14.457799999999999
0.000092,-14.7315
0.000096,-14.7476
0.000100,-14.6993
0.000104,-14.844199999999999
0.000108,-15.0052
0.000112,-15.0535
0.000116,-15.0213
0.000120,-15.0696
0.000124,-15.2628
0.000128,-15.2789
0.000132,-15.2467
0.000136,-15.295
0.000140,-15.4238
0.000144,-15.504299999999999
0.000148,-15.4238
0.000152,-15.456
0.000156,-15.5848
0.000160,-15.633099999999999
0.000164,-15.6009
0.000168,-15.6009
0.000172,-15.6975
0.000176,-15.7458
0.000180,-15.7136
0.000184,-15.7297
0.000188,-15.7941
0.000192,-15.8424
0.000196,-15.8263
0.000200,-15.7941
0.000204,-15.8585
0.000208,-15.9068
0.000212,-15.890699999999999
0.000216,-15.8746
0.000220,-15.9068
0.000224,-15.9712
0.000228,-15.9551
0.000232,-15.9229
0.000236,-15.9712
0.000240,-16.0195
0.000244,-16.0034
0.000248,-15.9873
0.000252,-16.0195
0.000256,-16.0678
0.000260,-16.0517
0.000264,-16.0356
0.000268,-16.0517
0.000272,-16.1
0.000276,-16.1
0.000280,-16.0678
0.000284,-16.0839
0.000288,-16.1161
0.000292,-16.1322
0.000296,-16.1161
0.000300,-16.1161
0.000304,-16.1322
0.000308,-16.1644
0.000312,-16.1483
0.000316,-16.1322
0.000320,-16.1644
0.000324,-16.1805
0.000328,-16.1644
0.000332,-16.1483
0.000336,-16.1805
0.000340,-16.1966
0.000344,-16.1805
0.000348,-16.1805
0.000352,-16.1966
0.000356,-16.212699999999998
0.000360,-16.212699999999998
0.000364,-16.1966
0.000368,-16.212699999999998
0.000372,-16.212699999999998
0.000376,-16.212699999999998
0.000380,-16.212699999999998
0.000384,-16.2288
0.000388,-16.2449
0.000392,-16.2449
0.000396,-16.2449
0.000400,-16.2449
0.000404,-16.261
0.000408,-16.261
0.000412,-16.261
0.000416,-16.2449
0.000420,-16.2771
0.000424,-16.261
0.000428,-16.261
0.000432,-16.2771
0.000436,-16.2932
0.000440,-16.2932
0.000444,-16.2771
0.000448,-16.2771
0.000452,-16.2932
0.000456,-16.2932
0.000460,-16.2932
0.000464,-16.2932
0.000468,-16.2932
0.000472,-16.3093
0.000476,-16.3093
0.000480,-16.3093
0.000484,-16.3093
0.000488,-16.3093
0.000492,-16.3093
0.000496,-16.3093
0.000500,-16.3254
0.000504,-16.3093
0.000508,-16.3254
0.000512,-16.3254
0.000516,-16.3415
0.000520,-16.3415
0.000524,-16.3254
0.000528,-16.3254
0.000532,-16.3254
0.000536,-16.3415
0.000540,-16.3415
0.000544,-16.3415
0.000548,-16.3254
0.000552,-16.3415
0.000556,-16.3415
0.000560,-16.3415
0.000564,-16.3415
0.000568,-16.3415
0.000572,-16.3415
0.000576,-16.3415
0.000580,-16.3576
0.000584,-16.3576
0.000588,-16.3576
0.000592,-16.3576
0.000596,-16.3576
0.000600,-16.3737
0.000604,-16.3737
0.000608,-16.3576
0.000612,-16.3576
0.000616,-16.3737
0.000620,-16.3737
0.000624,-16.3737
0.000628,-16.3737
0.000632,-16.3737
0.000636,-16.3737
0.000640,-16.3737
0.000644,-16.3737
0.000648,-16.3737
0.000652,-16.3737
0.000656,-16.3898
0.000660,-16.3898
0.000664,-16.3737
0.000668,-16.3898
0.000672,-16.3898
0.000676,-16.3898
0.000680,-16.3898
0.000684,-16.3898
0.000688,-16.4059
0.000692,-16.3898
0.000696,-16.3898
0.000700,-16.3898
0.000704,-16.3898
0.000708,-16.4059
0.000712,-16.3898
0.000716,-16.3898
0.000720,-16.3898
0.000724,-16.3898
0.000728,-16.4059
0.000732,-16.3898
0.000736,-16.3898
0.000740,-16.4059
0.000744,-16.4059
0.000748,-16.4059
0.000752,-16.4059
0.000756,-16.4059
0.000760,-16.4059
0.000764,-16.4059
0.000768,-16.4059
0.000772,-16.4059
0.000776,-16.4059
0.000780,-16.4059
0.000784,-16.4059
0.000788,-16.4059
0.000792,-16.4059
0.000796,-16.422
0.000800,-16.4059
0.000804,-16.422
0.000808,-16.422
0.000812,-16.4059
0.000816,-16.422
0.000820,-16.422
0.000824,-16.422
0.000828,-16.422
0.000832,-16.422
0.000836,-16.422
0.000840,-16.422
0.000844,-16.422
0.000848,-16.422
0.000852,-16.422
0.000856,-16.422
0.000860,-16.422
0.000864,-16.422
0.000868,-16.422
0.000872,-16.422
0.000876,-16.422
0.000880,-16.422
0.000884,-16.422
0.000888,-16.422
0.000892,-16.422
0.000896,-16.422
0.000900,-16.422
0.000904,-16.4381
0.000908,-16.422
0.000912,-16.422
0.000916,-16.4381
0.000920,-16.4381
0.000924,-16.4381
0.000928,-16.4381
0.000932,-16.4381
0.000936,-16.422
0.000940,-16.422
0.000944,-16.422
0.000948,-16.4381
0.000952,-16.422
0.000956,-16.4381
0.000960,-16.4381
0.000964,-16.4381
0.000968,-16.4381
0.000972,-16.4381
0.000976,-16.4381
0.000980,-16.4381
0.000984,-16.4381
0.000988,-16.4381
0.000992,-16.4381
0.000996,-16.4381
0.001000,-16.4381
0.001004,-16.4381
0.001008,-16.4381
0.001012,-16.4381
0.001016,-16.4381
0.001020,-16.4542
0.001024,-16.4381
0.001028,-16.4381
0.001032,-16.4381
0.001036,-16.4381
0.001040,-16.4381
0.001044,-16.4381
0.001048,-16.4381
0.001052,-16.4381
0.001056,-16.4381
0.001060,-16.4381
0.001064,-16.4381
0.001068,-16.4381
0.001072,-16.422
0.001076,-16.4381
0.001080,-16.4381
0.001084,-16.4381
0.001088,-16.4542
0.001092,-16.4381
0.001096,-16.4381
0.001100,-16.4381
0.001104,-16.4381
0.001108,-16.4381
0.001112,-16.4381
0.001116,-16.4542
0.001120,-16.4381
0.001124,-16.4542
0.001128,-16.4381
0.001132,-16.4381
0.001136,-16.4381
0.001140,-16.4381
0.001144,-16.4542
0.001148,-16.4381
0.001152,-16.4381
0.001156,-16.4381
0.001160,-16.4381
0.001164,-16.4381
0.001168,-16.4381
0.001172,-16.4542
0.001176,-16.4381
0.001180,-16.4542
0.001184,-16.4381
0.001188,-16.4542
0.001192,-16.4381
0.001196,-16.4381
0.001200,-16.4542
0.001204,-16.4542
0.001208,-16.4542
0.001212,-16.4542
0.001216,-16.4381
0.001220,-16.4381
0.001224,-16.4381
0.001228,-16.4381
0.001232,-16.4381
0.001236,-16.4381
0.001240,-16.4381
0.001244,-16.4542
0.001248,-16.4381
0.001252,-16.4381
0.001256,-16.4381
0.001260,-16.4381
0.001264,-16.4381
0.001268,-16.4381
0.001272,-16.4542
0.001276,-16.4381
0.001280,-16.4381
0.001284,-16.4381
0.001288,-16.4542
0.001292,-16.4381
0.001296,-16.4381
0.001300,-16.4381
0.001304,-16.4381
0.001308,-16.4381
0.001312,-16.4381
0.001316,-16.4542
0.001320,-16.4381
0.001324,-16.4381
0.001328,-16.4542
0.001332,-16.4381
0.001336,-16.4542
0.001340,-16.4381
0.001344,-16.4381
0.001348,-16.4381
0.001352,-16.4542
0.001356,-16.4542
0.001360,-16.4381
0.001364,-16.4381
0.001368,-16.4381
0.001372,-16.4381
0.001376,-16.4381
0.001380,-16.4381
0.001384,-16.4381
0.001388,-16.4381
0.001392,-16.4381
0.001396,-16.4381
0.001400,-16.4381
0.001404,-16.4381
0.001408,-16.4381
0.001412,-16.4381
0.001416,-16.4381
0.001420,-16.4381
0.001424,-16.4381
0.001428,-16.422
0.001432,-16.4381
0.001436,-16.4381
0.001440,-16.4381
0.001444,-16.4381
0.001448,-16.422
0.001452,-16.4381
0.001456,-16.422
0.001460,-16.4381
0.001464,-16.4381
0.001468,-16.4381
0.001472,-16.4381
0.001476,-16.4381
0.001480,-16.4381
0.001484,-16.422
0.001488,-16.422
0.001492,-16.4381
0.001496,-16.4381
0.001500,-16.4381
0.001504,-16.4381
0.001508,-16.4381
0.001512,-16.4381
0.001516,-16.4381
0.001520,-16.4381
0.001524,-16.422
0.001528,-16.4381
0.001532,-16.4381
0.001536,-16.422
0.001540,-16.422
0.001544,-16.4381
0.001548,-16.422
0.001552,-16.422
0.001556,-16.422
0.001560,-16.422
0.001564,-16.422
0.001568,-16.422
0.001572,-16.422
0.001576,-16.422
0.001580,-16.422
0.001584,-16.422
0.001588,-16.422
0.001592,-16.4059
0.001596,-16.422
0.001600,-16.422
0.001604,-16.422
0.001608,-16.422
0.001612,-16.4059
0.001616,-16.4059
0.001620,-16.422
0.001624,-16.422
0.001628,-16.422
0.001632,-16.422
0.001636,-16.422
0.001640,-16.4059
0.001644,-16.4059
0.001648,-16.422
0.001652,-16.422
0.001656,-16.422
0.001660,-16.422
0.001664,-16.4059
0.001668,-16.422
0.001672,-16.422
0.001676,-16.4059
0.001680,-16.4059
0.001684,-16.4059
0.001688,-16.422
0.001692,-16.422
0.001696,-16.4059
0.001700,-16.4059
0.001704,-16.4059
0.001708,-16.4059
0.001712,-16.4059
0.001716,-16.4059
0.001720,-16.3898
0.001724,-16.4059
0.001728,-16.422
0.001732,-16.3898
0.001736,-16.4059
0.001740,-16.4059
0.001744,-16.4059
0.001748,-16.4059
0.001752,-16.4059
0.001756,-16.4059
0.001760,-16.4059
0.001764,-16.3898
0.001768,-16.3898
0.001772,-16.4059
0.001776,-16.4059
0.001780,-16.4059
0.001784,-16.3898
0.001788,-16.4059
0.001792,-16.3898
0.001796,-16.3898
0.001800,-16.3898
0.001804,-16.3898
0.001808,-16.3898
0.001812,-16.3898
0.001816,-16.3898
0.001820,-16.3898
0.001824,-16.3898
0.001828,-16.3898
0.001832,-16.4059
0.001836,-16.3898
0.001840,-16.3898
0.001844,-16.3898
0.001848,-16.3898
0.001852,-16.3898
0.001856,-16.3898
0.001860,-16.3898
0.001864,-16.3898
0.001868,-16.3898
0.001872,-16.3898
0.001876,-16.3898
0.001880,-16.3737
0.001884,-16.3737
0.001888,-16.3737
0.001892,-16.3898
0.001896,-16.3737
0.001900,-16.3737
0.001904,-16.3737
0.001908,-16.3737
0.001912,-16.3737
0.001916,-16.3737
0.001920,-16.3737
0.001924,-16.3737
0.001928,-16.3737
0.001932,-16.3576
0.001936,-16.3737
0.001940,-16.3737
0.001944,-16.3737
0.001948,-16.3737
0.001952,-16.3737
0.001956,-16.3737
0.001960,-16.3737
0.001964,-16.3576
0.001968,-16.3576
0.001972,-16.3737
0.001976,-16.3737
0.001980,-16.3737
0.001984,-16.3576
0.001988,-16.3576
0.001992,-16.3576
0.001996,-16.3737
0.002000,-16.3576
0.002004,-16.3576
0.002008,-16.3576
0.002012,-16.3576
0.002016,-16.3576
0.002020,-16.3576
0.002024,-16.3576
0.002028,-16.3576
0.002032,-16.3415
0.002036,-16.3415
0.002040,-16.3415
0.002044,-16.3415
0.002048,-16.3415
0.002052,-16.3415
0.002056,-16.3415
0.002060,-16.3415
0.002064,-16.3415
0.002068,-16.3254
0.002072,-16.3415
0.002076,-16.3415
0.002080,-16.3254
0.002084,-16.3254
0.002088,-16.3415
0.002092,-16.3415
0.002096,-16.3415
0.002100,-16.3254
0.002104,-16.3254
0.002108,-16.3254
0.002112,-16.3415
0.002116,-16.3415
0.002120,-16.3254
0.002124,-16.3254
0.002128,-16.3254
0.002132,-16.3254
0.002136,-16.3254
0.002140,-16.3254
0.002144,-16.3254
0.002148,-16.3254
0.002152,-16.3254
0.002156,-16.3254
0.002160,-16.3254
0.002164,-16.3254
0.002168,-16.3254
0.002172,-16.3254
0.002176,-16.3254
0.002180,-16.3254
0.002184,-16.3093
0.002188,-16.3254
0.002192,-16.3093
0.002196,-16.3093
0.002200,-16.3093
0.002204,-16.3093
0.002208,-16.3093
0.002212,-16.3093
0.002216,-16.3093
0.002220,-16.3093
0.002224,-16.3093
0.002228,-16.3093
0.002232,-16.3093
0.002236,-16.2932
0.002240,-16.2932
0.002244,-16.3093
0.002248,-16.3093
0.002252,-16.2932
0.002256,-16.3093
0.002260,-16.2932
0.002264,-16.2932
0.002268,-16.2932
0.002272,-16.3093
0.002276,-16.2932
0.002280,-16.2932
0.002284,-16.3093
0.002288,-16.2932
0.002292,-16.2932
0.002296,-16.2932
0.002300,-16.2932
0.002304,-16.2932
0.002308,-16.2932
0.002312,-16.2932
0.002316,-16.2932
0.002320,-16.2932
0.002324,-16.2932
0.002328,-16.2932
0.002332,-16.2771
0.002336,-16.2771
0.002340,-16.2932
0.002344,-16.2932
0.002348,-16.2932
0.002352,-16.2771
0.002356,-16.2771
0.002360,-16.2771
0.002364,-16.2932
0.002368,-16.2771
0.002372,-16.2771
0.002376,-16.2771
0.002380,-16.2771
0.002384,-16.2771
0.002388,-16.2771
0.002392,-16.261
0.002396,-16.261
0.002400,-16.2771
0.002404,-16.261
0.002408,-16.261
0.002412,-16.261
0.002416,-16.261
0.002420,-16.2771
0.002424,-16.261
0.002428,-16.261
0.002432,-16.261
0.002436,-16.261
0.002440,-16.261
0.002444,-16.261
0.002448,-16.261
0.002452,-16.261
0.002456,-16.261
0.002460,-16.261
0.002464,-16.261
0.002468,-16.2449
0.002472,-16.2449
0.002476,-16.261
0.002480,-16.261
0.002484,-16.2449
0.002488,-16.2449
0.002492,-16.2449
0.002496,-16.261
0.002500,-16.2449
0.002504,-16.2449
0.002508,-16.2449
0.002512,-16.2449
0.002516,-16.2449
0.002520,-16.2449
0.002524,-16.2449
0.002528,-16.2449
0.002532,-16.2449
0.002536,-16.2288
0.002540,-16.2288
0.002544,-16.2288
0.002548,-16.2288
0.002552,-16.2288
0.002556,-16.2288
0.002560,-16.212699999999998
0.002564,-16.212699999999998
0.002568,-16.2288
0.002572,-16.2288
0.002576,-16.2288
0.002580,-16.212699999999998
0.002584,-16.2288
0.002588,-16.212699999999998
0.002592,-16.212699999999998
0.002596,-16.212699999999998
0.002600,-16.212699999999998
0.002604,-16.212699999999998
0.002608,-16.212699999999998
0.002612,-16.212699999999998
0.002616,-16.212699999999998
0.002620,-16.212699999999998
0.002624,-16.212699999999998
0.002628,-16.212699999999998
0.002632,-16.212699999999998
0.002636,-16.212699999999998
0.002640,-16.1966
0.002644,-16.212699999999998
0.002648,-16.212699999999998
0.002652,-16.212699999999998
0.002656,-16.212699999999998
0.002660,-16.212699999999998
0.002664,-16.212699999999998
0.002668,-16.212699999999998
0.002672,-16.212699999999998
0.002676,-16.212699999999998
0.002680,-16.212699999999998
0.002684,-16.1966
0.002688,-16.1966
0.002692,-16.1966
0.002696,-16.1966
0.002700,-16.1966
0.002704,-16.1966
0.002708,-16.1966
0.002712,-16.1966
0.002716,-16.1805
0.002720,-16.1966
0.002724,-16.1966
0.002728,-16.1966
0.002732,-16.1805
0.002736,-16.1805
0.002740,-16.1805
0.002744,-16.1805
0.002748,-16.1805
0.002752,-16.1805
0.002756,-16.1805
0.002760,-16.1805
0.002764,-16.1805
0.002768,-16.1805
0.002772,-16.1805
0.002776,-16.1805
0.002780,-16.1805
0.002784,-16.1805
0.002788,-16.1805
0.002792,-16.1644
0.002796,-16.1805
0.002800,-16.1644
0.002804,-16.1644
0.002808,-16.1644
0.002812,-16.1644
0.002816,-16.1644
0.002820,-16.1644
0.002824,-16.1644
0.002828,-16.1483
0.002832,-16.1644
0.002836,-16.1644
0.002840,-16.1644
0.002844,-16.1644
0.002848,-16.1483
0.002852,-16.1483
0.002856,-16.1644
0.002860,-16.1644
0.002864,-16.1644
0.002868,-16.1483
0.002872,-16.1483
0.002876,-16.1483
0.002880,-16.1483
0.002884,-16.1483
0.002888,-16.1322
0.002892,-16.1483
0.002896,-16.1483
0.002900,-16.1483
0.002904,-16.1322
0.002908,-16.1483
0.002912,-16.1483
0.002916,-16.1483
0.002920,-16.1483
0.002924,-16.1322
0.002928,-16.1322
0.002932,-16.1322
0.002936,-16.1322
0.002940,-16.1322
0.002944,-16.1322
0.002948,-16.1322
0.002952,-16.1322
0.002956,-16.1322
0.002960,-16.1322
0.002964,-16.1322
0.002968,-16.1161
0.002972,-16.1161
0.002976,-16.1161
0.002980,-16.1161
0.002984,-16.1161
0.002988,-16.1161
0.002992,-16.1161
0.002996,-16.1161
0.003000,-16.1322
0.003004,-16.1161
0.003008,-16.1161
0.003012,-16.1161
0.003016,-16.1161
0.003020,-16.1161
0.003024,-16.1161
0.003028,-16.1161
0.003032,-16.1161
0.003036,-16.1161
0.003040,-16.1161
0.003044,-16.1
0.003048,-16.1161
0.003052,-16.1
0.003056,-16.1
0.003060,-16.1
0.003064,-16.1
0.003068,-16.1
0.003072,-16.1
0.003076,-16.1
0.003080,-16.0839
0.003084,-16.0839
0.003088,-16.0839
0.003092,-16.0839
0.003096,-16.0839
0.003100,-16.0839
0.003104,-16.0839
0.003108,-16.0839
0.003112,-16.0839
0.003116,-16.0839
0.003120,-16.0839
0.003124,-16.0839
0.003128,-16.0839
0.003132,-16.0839
0.003136,-16.0839
0.003140,-16.0839
0.003144,-16.0839
0.003148,-16.0678
0.003152,-16.0678
0.003156,-16.0839
0.003160,-16.0839
0.003164,-16.0839
0.003168,-16.0678
0.003172,-16.0678
0.003176,-16.0678
0.003180,-16.0678
0.003184,-16.0678
0.003188,-16.0678
0.003192,-16.0678
0.003196,-16.0678
0.003200,-16.0678
0.003204,-16.0517
0.003208,-16.0678
0.003212,-16.0678
0.003216,-16.0678
0.003220,-16.0517
0.003224,-16.0517
0.003228,-16.0517
0.003232,-16.0517
0.003236,-16.0517
0.003240,-16.0517
0.003244,-16.0517
0.003248,-16.0356
0.003252,-16.0356
0.003256,-16.0356
0.003260,-16.0517
0.003264,-16.0356
0.003268,-16.0356
0.003272,-16.0356
0.003276,-16.0356
0.003280,-16.0356
0.003284,-16.0356
0.003288,-16.0356
0.003292,-16.0356
0.003296,-16.0356
0.003300,-16.0356
0.003304,-16.0195
0.003308,-16.0356
0.003312,-16.0356
0.003316,-16.0356
0.003320,-16.0356
0.003324,-16.0356
0.003328,-16.0195
0.003332,-16.0356
0.003336,-16.0356
0.003340,-16.0356
0.003344,-16.0195
0.003348,-16.0195
0.003352,-16.0195
0.003356,-16.0195
0.003360,-16.0195
0.003364,-16.0034
0.003368,-16.0195
0.003372,-16.0195
0.003376,-16.0195
0.003380,-16.0034
0.003384,-16.0034
0.003388,-16.0034
0.003392,-16.0034
0.003396,-16.0195
0.003400,-16.0034
0.003404,-16.0034
0.003408,-16.0034
0.003412,-16.0034
0.003416,-16.0034
0.003420,-16.0034
0.003424,-15.9873
0.003428,-16.0034
0.003432,-16.0034
0.003436,-15.9873
0.003440,-15.9873
0.003444,-15.9873
0.003448,-15.9873
0.003452,-16.0034
0.003456,-15.9873
0.003460,-15.9873
0.003464,-15.9873
0.003468,-15.9873
0.003472,-15.9873
0.003476,-15.9873
0.003480,-15.9873
0.003484,-15.9712
0.003488,-15.9873
0.003492,-15.9873
0.003496,-15.9712
0.003500,-15.9873
0.003504,-15.9712
0.003508,-15.9873
0.003512,-15.9712
0.003516,-15.9712
0.003520,-15.9712
0.003524,-15.9712
0.003528,-15.9712
0.003532,-15.9712
0.003536,-15.9712
0.003540,-15.9551
0.003544,-15.9712
0.003548,-15.9551
0.003552,-15.9551
0.003556,-15.9551
0.003560,-15.9551
0.003564,-15.9551
0.003568,-15.9551
0.003572,-15.9551
0.003576,-15.9551
0.003580,-15.9551
0.003584,-15.939
0.003588,-15.9551
0.003592,-15.9551
0.003596,-15.939
0.003600,-15.939
0.003604,-15.939
0.003608,-15.939
0.003612,-15.939
0.003616,-15.939
0.003620,-15.939
0.003624,-15.939
0.003628,-15.939
0.003632,-15.9229
0.003636,-15.939
0.003640,-15.939
0.003644,-15.9229
0.003648,-15.939
0.003652,-15.939
0.003656,-15.9229
0.003660,-15.9229
0.003664,-15.9229
0.003668,-15.939
0.003672,-15.9229
0.003676,-15.9229
0.003680,-15.9229
0.003684,-15.9229
0.003688,-15.9068
0.003692,-15.9229
0.003696,-15.9229
0.003700,-15.9229
0.003704,-15.9229
0.003708,-15.9068
0.003712,-15.9068
0.003716,-15.9068
0.003720,-15.9068
0.003724,-15.9068
0.003728,-15.9068
0.003732,-15.890699999999999
0.003736,-15.890699999999999
0.003740,-15.890699999999999
0.003744,-15.9068
0.003748,-15.9068
0.003752,-15.890699999999999
0.003756,-15.890699999999999
0.003760,-15.890699999999999
0.003764,-15.8746
0.003768,-15.890699999999999
0.003772,-15.8746
0.003776,-15.890699999999999
0.003780,-15.890699999999999
0.003784,-15.890699999999999
0.003788,-15.890699999999999
0.003792,-15.8746
0.003796,-15.8746
0.003800,-15.8746
0.003804,-15.8746
0.003808,-15.8746
0.003812,-15.8746
0.003816,-15.8746
0.003820,-15.8746
0.003824,-15.8746
0.003828,-15.8746
0.003832,-15.8746
0.003836,-15.8746
0.003840,-15.8746
0.003844,-15.8746
0.003848,-15.8746
0.003852,-15.8585
0.003856,-15.8585
0.003860,-15.8585
0.003864,-15.8585
0.003868,-15.8585
0.003872,-15.8585
0.003876,-15.8585
0.003880,-15.8424
0.003884,-15.8424
0.003888,-15.8585
0.003892,-15.8585
0.003896,-15.8424
0.003900,-15.8424
0.003904,-15.8424
0.003908,-15.8424
0.003912,-15.8424
0.003916,-15.8424
0.003920,-15.8424
0.003924,-15.8263
0.003928,-15.8263
0.003932,-15.8263
0.003936,-15.8263
0.003940,-15.8263
0.003944,-15.8263
0.003948,-15.8263
0.003952,-15.8263
0.003956,-15.8263
0.003960,-15.8263
0.003964,-15.8263
0.003968,-15.8102
0.003972,-15.8102
0.003976,-15.8263
0.003980,-15.8102
0.003984,-15.8263
0.003988,-15.8102
0.003992,-15.8102
0.003996,-15.8102
0.004000,-15.8102
0.004004,-15.8102
0.004008,-15.8102
0.004012,-15.8102
0.004016,-15.8102
0.004020,-15.7941
0.004024,-15.7941
0.004028,-15.7941
0.004032,-15.7941
0.004036,-15.7941
0.004040,-15.7941
0.004044,-15.7941
0.004048,-15.7941
0.004052,-15.7941
