time,signal
0.0,32.9728
4e-06,-32.9567
8e-06,-0.0161
1.2e-05,-0.0161
1.6e-05,-0.0322
2e-05,-0.0161
2.4e-05,-0.0322
2.8e-05,-0.0322
3.2e-05,-0.0161
3.6e-05,-0.0161
4e-05,-0.0161
4.4e-05,-0.0322
4.8e-05,-0.0161
5.2e-05,-0.0161
5.6e-05,-0.0322
6e-05,-0.0161
6.4e-05,-0.0322
6.8e-05,-0.048299999999999996
7.2e-05,-0.0161
7.6e-05,-0.0161
8e-05,-0.0322
8.4e-05,-0.0161
8.8e-05,-0.0161
9.2e-05,-0.0322
9.6e-05,-0.0322
0.0001,-0.0161
0.000104,-0.0161
0.000108,-0.0161
0.000112,-0.0322
0.000116,-0.0161
0.00012,-0.0322
0.000124,-0.0161
0.000128,-0.0161
0.000132,-0.0322
0.000136,-0.0322
0.00014,-0.0161
0.000144,-0.0161
0.000148,-0.0161
0.000152,-0.0161
0.000156,-0.0161
0.00016,-0.0322
0.000164,-0.0
0.000168,-0.0322
0.000172,-0.0322
0.000176,-0.0322
0.00018,-0.0161
0.000184,-0.0161
0.000188,-0.0322
0.000192,-0.0161
0.000196,-0.0161
0.0002,-0.0161
0.000204,-0.0322
0.000208,-0.0322
0.000212,-0.0322
0.000216,-0.0161
0.00022,-0.0161
0.000224,-0.0322
0.000228,-0.0322
0.000232,-0.0322
0.000236,-0.0161
0.00024,-0.0161
0.000244,-0.0161
0.000248,-0.0161
0.000252,-0.0322
0.000256,-0.0161
0.00026,-0.0322
0.000264,-0.0322
0.000268,-0.0161
0.000272,-0.0161
0.000276,-0.0161
0.00028,-0.0322
0.000284,-0.0161
0.000288,-0.0161
0.000292,-0.0161
0.000296,-0.0322
0.0003,-0.0322
0.000304,-0.0161
0.000308,-0.0161
0.000312,-0.0161
0.000316,-0.0322
0.00032,-0.0322
0.000324,-0.0161
0.000328,-0.0161
0.000332,-0.0161
0.000336,-0.0322
0.00034,-0.0322
0.000344,-0.0161
0.000348,-0.0161
0.000352,-0.0161
0.000356,-0.0161
0.00036,-7.9695
0.000364,-11.2861
0.000368,-23.8602
0.000372,-10.915799999999999
0.000376,-10.3845
0.00038,-17.6134
0.000384,-15.7297
0.000388,-17.7583
0.000392,-9.3219
0.000396,-14.168
0.0004,-20.8495
0.000404,-12.622399999999999
0.000408,-13.411299999999999
0.000412,-13.5723
0.000416,-17.3075
0.00042,-17.532899999999998
0.000424,-10.143
0.000428,-15.0696
0.000432,-17.5168
0.000436,-15.1501
0.00044,-13.9909
0.000444,-12.364799999999999
0.000448,-17.7422
0.000452,-16.422
0.000456,-12.2843
0.00046,-14.6188
0.000464,-15.7941
0.000468,-16.6957
0.000472,-13.8138
0.000476,-12.8478
0.00048,-16.9855
0.000484,-15.8424
0.000488,-14.0714
0.000492,-13.8782
0.000496,-15.295
0.0005,-16.9211
0.000504,-13.9748
0.000508,-13.668899999999999
0.000512,-15.8263
0.000516,-15.8746
0.00052,-14.972999999999999
0.000524,-13.5884
0.000528,-15.2628
0.000532,-16.422
0.000536,-14.5222
0.00054,-14.184099999999999
0.000544,-15.0052
0.000548,-15.9873
0.000552,-15.2145
0.000556,-13.8299
0.00056,-15.134
0.000564,-15.8585
0.000568,-15.101799999999999
0.000572,-14.3773
0.000576,-14.6832
0.00058,-15.9229
0.000584,-15.230599999999999
0.000588,-14.312899999999999
0.000592,-14.9086
0.000596,-15.5365
0.0006,-15.4399
0.000604,-14.49
0.000608,-14.6993
0.000612,-15.6492
0.000616,-15.295
0.00062,-14.6993
0.000624,-14.7315
0.000628,-15.3916
0.000632,-15.504299999999999
0.000636,-14.6832
0.00064,-14.7476
0.000644,-15.3755
0.000648,-15.3755
0.000652,-14.9086
0.000656,-14.6993
0.00066,-15.295
0.000664,-15.4399
0.000668,-14.8925
0.000672,-14.812
0.000676,-15.1823
0.00068,-15.4077
0.000684,-15.0374
0.000688,-14.7798
0.000692,-15.1984
0.000696,-15.359399999999999
0.0007,-15.0857
0.000704,-14.844199999999999
0.000708,-15.101799999999999
0.000712,-15.3755
0.000716,-15.101799999999999
0.00072,-14.8764
0.000724,-15.101799999999999
0.000728,-15.3111
0.000732,-15.1662
0.000736,-14.9086
0.00074,-15.0696
0.000744,-15.295
0.000748,-15.1662
0.000752,-14.972999999999999
0.000756,-15.0374
0.00076,-15.2789
0.000764,-15.2145
0.000768,-15.0052
0.000772,-15.0535
0.000776,-15.230599999999999
0.00078,-15.230599999999999
0.000784,-15.0374
0.000788,-15.0374
0.000792,-15.230599999999999
0.000796,-15.2145
0.0008,-15.0374
0.000804,-15.0696
0.000808,-15.1984
0.000812,-15.230599999999999
0.000816,-15.0696
0.00082,-15.0535
0.000824,-15.1823
0.000828,-15.2145
0.000832,-15.1179
0.000836,-15.0696
0.00084,-15.1662
0.000844,-15.230599999999999
0.000848,-15.1179
0.000852,-15.0857
0.000856,-15.1662
0.00086,-15.1984
0.000864,-15.1501
0.000868,-15.0857
0.000872,-15.1501
0.000876,-15.2145
0.00088,-15.1501
0.000884,-15.101799999999999
0.000888,-15.1662
0.000892,-15.1984
0.000896,-15.1662
0.0009,-15.1179
0.000904,-15.1501
0.000908,-15.1984
0.000912,-15.1662
0.000916,-15.1179
0.00092,-15.1501
0.000924,-15.1984
0.000928,-15.1823
0.000932,-15.134
0.000936,-15.1501
0.00094,-15.1823
0.000944,-15.1823
0.000948,-15.1501
0.000952,-15.1501
0.000956,-15.1823
0.00096,-15.1823
0.000964,-15.1662
0.000968,-15.1501
0.000972,-15.1662
0.000976,-15.1823
0.00098,-15.1662
0.000984,-15.1501
0.000988,-15.1823
0.000992,-15.1984
0.000996,-15.1662
0.001,-15.1501
0.001004,-15.1823
0.001008,-15.1984
0.001012,-15.1662
0.001016,-15.1662
0.00102,-15.1662
0.001024,-15.1823
0.001028,-15.1823
0.001032,-15.1501
0.001036,-15.1662
0.00104,-15.1984
0.001044,-15.1823
0.001048,-15.1501
0.001052,-15.1823
0.001056,-15.1984
0.00106,-15.1823
0.001064,-15.1662
0.001068,-15.1823
0.001072,-15.1823
0.001076,-15.1823
0.00108,-15.1662
0.001084,-15.1823
0.001088,-15.1984
0.001092,-15.1823
0.001096,-15.1662
0.0011,-15.1662
0.001104,-15.1823
0.001108,-15.1823
0.001112,-15.1823
0.001116,-15.1823
0.00112,-15.1984
0.001124,-15.1984
0.001128,-15.1823
0.001132,-15.1823
0.001136,-15.1823
0.00114,-15.1823
0.001144,-15.1823
0.001148,-15.1823
0.001152,-15.1984
0.001156,-15.1984
0.00116,-15.1823
0.001164,-15.1984
0.001168,-15.1984
0.001172,-15.1823
0.001176,-15.1823
0.00118,-15.1823
0.001184,-15.1984
0.001188,-15.1984
0.001192,-15.1984
0.001196,-15.1823
0.0012,-15.1823
0.001204,-15.1984
0.001208,-15.1823
0.001212,-15.1823
0.001216,-15.1984
0.00122,-15.1984
0.001224,-15.1823
0.001228,-15.1823
0.001232,-15.1823
0.001236,-15.1823
0.00124,-15.1984
0.001244,-15.1984
0.001248,-15.1984
0.001252,-15.1823
0.001256,-15.1984
0.00126,-15.1984
0.001264,-15.1823
0.001268,-15.1823
0.001272,-15.1823
0.001276,-15.1823
0.00128,-15.1984
0.001284,-15.1984
0.001288,-15.1984
0.001292,-15.1984
0.001296,-15.1984
0.0013,-15.1984
0.001304,-15.1984
0.001308,-15.1823
0.001312,-15.1984
0.001316,-15.1984
0.00132,-15.1984
0.001324,-15.1984
0.001328,-15.1984
0.001332,-15.1984
0.001336,-15.1984
0.00134,-15.1823
0.001344,-15.1984
0.001348,-15.1823
0.001352,-15.1984
0.001356,-15.1823
0.00136,-15.1984
0.001364,-15.1984
0.001368,-15.1984
0.001372,-15.1823
0.001376,-15.1823
0.00138,-15.1984
0.001384,-15.1984
0.001388,-15.230599999999999
0.001392,-15.1501
0.001396,-15.230599999999999
0.0014,-15.1823
0.001404,-15.1984
0.001408,-15.1823
0.001412,-15.1823
0.001416,-15.1823
0.00142,-15.1984
0.001424,-15.1823
0.001428,-15.1984
0.001432,-15.1823
0.001436,-15.1984
0.00144,-15.1823
0.001444,-15.1984
0.001448,-15.1984
0.001452,-15.1984
0.001456,-15.1823
0.00146,-15.2145
0.001464,-15.1823
0.001468,-15.1984
0.001472,-15.1823
0.001476,-15.1984
0.00148,-15.1823
0.001484,-15.1984
0.001488,-15.1984
0.001492,-15.1984
0.001496,-15.1823
0.0015,-15.1823
0.001504,-15.1984
0.001508,-15.1984
0.001512,-15.1823
0.001516,-15.1823
0.00152,-15.1984
